@relation 'Titanic_train_processed-weka.filters.unsupervised.attribute.NumericToNominal-R1,2-weka.filters.unsupervised.attribute.NominalToBinary-R1,3-weka.filters.unsupervised.attribute.NumericToNominal-R1,3'

@attribute Survived			{0,1}
@attribute Pclass 			{1,2,3}
@attribute Sex 				{Male,Female}
@attribute Embarked 		{C,S,Q}
@attribute AgeGroup 		{'Young Adult','Senior Adult',NK,Teen,Child,Elderly}
@attribute Relatives 		{None,Low,Average,High}

@data
0,3,Male,Q,NK,None
0,3,Male,Q,NK,None
1,3,Male,Q,NK,None
0,3,Male,Q,'Young Adult',None
0,3,Male,Q,'Young Adult',None
1,3,Female,Q,NK,None
0,3,Male,Q,NK,None
1,3,Female,Q,Teen,None
0,3,Male,Q,'Young Adult',None
0,3,Male,Q,NK,None
1,3,Female,Q,NK,None
0,3,Male,Q,NK,None
0,3,Male,Q,NK,None
0,3,Male,S,'Young Adult',None
1,3,Female,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Female,Q,NK,None
0,3,Female,S,NK,None
0,3,Male,S,NK,None
1,3,Female,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
1,3,Female,S,'Young Adult',None
0,3,Male,S,NK,None
0,3,Male,S,'Young Adult',Low
0,3,Male,S,'Senior Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,NK,None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
1,3,Female,S,'Young Adult',None
0,3,Male,S,NK,None
0,3,Male,S,NK,None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
1,3,Male,C,NK,None
0,3,Male,C,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,C,Teen,Low
1,3,Female,C,NK,None
0,3,Male,C,NK,None
0,3,Male,C,NK,None
0,3,Male,C,Teen,Low
0,3,Male,C,NK,None
1,3,Male,C,'Young Adult',None
1,3,Female,C,Teen,None
0,3,Male,C,'Young Adult',None
0,3,Male,C,NK,None
0,3,Male,C,NK,None
1,3,Female,C,NK,None
0,3,Male,C,NK,None
0,3,Male,C,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,C,NK,None
0,3,Male,C,NK,None
1,3,Male,C,'Young Adult',None
0,3,Male,C,NK,None
0,3,Male,C,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,C,NK,None
1,3,Female,C,Teen,None
1,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,Teen,None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Senior Adult',None
0,3,Male,S,Teen,Low
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,NK,None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',Low
0,3,Male,S,'Young Adult',None
1,3,Male,S,'Young Adult',None
0,3,Male,Q,NK,None
0,3,Male,Q,NK,None
0,3,Male,Q,'Young Adult',None
0,3,Female,Q,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,3,Male,S,'Young Adult',Low
0,3,Male,S,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,S,'Senior Adult',None
0,1,Male,S,'Young Adult',None
0,3,Male,C,'Young Adult',None
0,3,Male,S,'Young Adult',None
0,1,Male,S,'Young Adult',None
1,3,Male,S,'Young Adult',None
0,2,Male,S,NK,None
0,3,Male,S,'Young Adult',None
0,2,Male,S,NK,None
0,2,Male,S,NK,None
0,2,Male,S,NK,None
0,3,Male,S,'Young Adult',None
0,1,Male,S,NK,None
0,2,Male,S,NK,None
0,2,Male,S,NK,None
0,1,Male,S,'Young Adult',None
0,1,Male,S,NK,None
0,1,Male,S,'Young Adult',None
